회사명,시장구분,종목코드,업종,상장일,결산월,지역
버넥트,코스닥,438700,소프트웨어 개발 및 공급업,2023-07-26,12월,서울특별시
뷰티스킨,코스닥,406820,기타 화학제품 제조업,2023-07-24,12월,인천광역시
SK증권제9호스팩,코스닥,455910,금융 지원 서비스업,2023-07-21,12월,서울특별시
와이랩,코스닥,432430,"영화, 비디오물, 방송프로그램 제작 및 배급업",2023-07-20,12월,서울특별시
센서뷰,코스닥,321370,전자부품 제조업,2023-07-19,12월,경기도
아이엠지티,코넥스,456570,의료용품 및 기타 의약 관련제품 제조업,2023-07-19,12월,경기도
필에너지,코스닥,378340,특수 목적용 기계 제조업,2023-07-14,12월,경기도
교보14호스팩,코스닥,456490,금융 지원 서비스업,2023-07-06,12월,서울특별시
이노시뮬레이션,코스닥,274400,소프트웨어 개발 및 공급업,2023-07-06,12월,서울특별시
알멕,코스닥,354320,1차 비철금속 제조업,2023-06-30,12월,경상남도
오픈놀,코스닥,440320,소프트웨어 개발 및 공급업,2023-06-30,12월,서울특별시
아이티센피엔에스,코스닥,232830,소프트웨어 개발 및 공급업,2023-06-29,12월,경기도
하나29호스팩,코스닥,454640,금융 지원 서비스업,2023-06-28,12월,서울특별시
KB제25호스팩,코스닥,455250,금융 지원 서비스업,2023-06-23,12월,서울특별시
엔에이치스팩29호,코스닥,451700,금융 지원 서비스업,2023-06-23,12월,서울특별시
하이제8호스팩,코스닥,450050,금융 지원 서비스업,2023-06-22,12월,서울특별시
가이아코퍼레이션,코넥스,296520,생활용품 도매업,2023-06-20,12월,경기도
비에이치,유가,90460,전자부품 제조업,2023-06-20,12월,인천광역시
동국씨엠,유가,460850,1차 철강 제조업,2023-06-16,12월,서울특별시
동국제강,유가,460860,1차 철강 제조업,2023-06-16,12월,서울특별시
프로티아,코스닥,303360,의료용 기기 제조업,2023-06-16,12월,서울특별시
큐라티스,코스닥,348080,자연과학 및 공학 연구개발업,2023-06-15,12월,충청북도
마녀공장,코스닥,439090,기타 화학제품 제조업,2023-06-08,12월,서울특별시
나라셀라,코스닥,405920,음·식료품 및 담배 도매업,2023-06-02,12월,경기도
진영,코스닥,285800,플라스틱제품 제조업,2023-06-01,12월,인천광역시
이수스페셜티케미컬,유가,457190,기초 화학물질 제조업,2023-05-31,12월,서울특별시
OCI,유가,456040,기초 화학물질 제조업,2023-05-30,12월,서울특별시
기가비스,코스닥,420770,특수 목적용 기계 제조업,2023-05-24,12월,경기도
팸텍,코스닥,271830,특수 목적용 기계 제조업,2023-05-23,12월,경기도
모니터랩,코스닥,434480,소프트웨어 개발 및 공급업,2023-05-19,12월,서울특별시
시선AI,코스닥,340810,소프트웨어 개발 및 공급업,2023-05-19,12월,서울특별시
큐라켐,코넥스,456190,의료용품 및 기타 의약 관련제품 제조업,2023-05-18,12월,충청북도
지슨,코스닥,446840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2023-05-17,12월,서울특별시
트루엔,코스닥,417790,영상 및 음향기기 제조업,2023-05-17,12월,서울특별시
삼미금속,코넥스,12210,기타 금속 가공제품 제조업,2023-05-16,12월,경상남도
에스바이오메딕스,코스닥,304360,의약품 제조업,2023-05-04,12월,서울특별시
슈어소프트테크,코스닥,298830,소프트웨어 개발 및 공급업,2023-04-28,12월,경기도
토마토시스템,코스닥,393210,소프트웨어 개발 및 공급업,2023-04-27,12월,서울특별시
마이크로투나노,코스닥,424980,반도체 제조업,2023-04-26,12월,경기도
셀바이오휴먼텍,코스닥,318160,기타 섬유제품 제조업,2023-04-20,12월,경기도
SK오션플랜트,유가,100090,1차 철강 제조업,2023-04-19,12월,경상남도
삼성FN리츠,유가,448730,부동산 임대 및 공급업,2023-04-10,01월,서울특별시
현대그린푸드,유가,453340,종합 소매업,2023-04-10,12월,경기도
미래에셋비전스팩3호,코스닥,448830,금융 지원 서비스업,2023-04-07,12월,서울특별시
IBKS제22호스팩,코스닥,448760,금융 지원 서비스업,2023-04-06,12월,서울특별시
한화갤러리아,유가,452260,종합 소매업,2023-03-31,12월,서울특별시
지아이이노베이션,코스닥,358570,자연과학 및 공학 연구개발업,2023-03-30,12월,서울특별시
LB인베스트먼트,코스닥,309960,기타 금융업,2023-03-29,12월,서울특별시
한화리츠,유가,451800,부동산 임대 및 공급업,2023-03-27,04월,서울특별시
유안타제12호스팩,코스닥,446150,금융 지원 서비스업,2023-03-17,12월,서울특별시
엑스게이트,코스닥,356680,소프트웨어 개발 및 공급업,2023-03-16,12월,경기도
금양그린파워,코스닥,282720,전기 및 통신 공사업,2023-03-13,12월,울산광역시
라온텍,코스닥,418420,전자부품 제조업,2023-03-09,12월,경기도
자람테크놀로지,코스닥,389020,반도체 제조업,2023-03-07,12월,경기도
나노팀,코스닥,417010,일반 목적용 기계 제조업,2023-03-03,12월,대전광역시
바이오인프라,코스닥,199730,자연과학 및 공학 연구개발업,2023-03-02,12월,경기도
이노진,코스닥,344860,기타 화학제품 제조업,2023-02-20,12월,서울특별시
화인써키트,코스닥,127980,전자부품 제조업,2023-02-17,12월,인천광역시
제이오,코스닥,418550,"건축기술, 엔지니어링 및 관련 기술 서비스업",2023-02-16,12월,인천광역시
샌즈랩,코스닥,411080,소프트웨어 개발 및 공급업,2023-02-15,12월,경기도
꿈비,코스닥,407400,가구 제조업,2023-02-09,12월,경기도
스튜디오미르,코스닥,408900,"영화, 비디오물, 방송프로그램 제작 및 배급업",2023-02-07,12월,서울특별시
삼기에너지솔루션즈,코스닥,419050,자동차 신품 부품 제조업,2023-02-03,12월,충청남도
코오롱모빌리티그룹,유가,450140,자동차 판매업,2023-01-31,12월,서울특별시
오브젠,코스닥,417860,소프트웨어 개발 및 공급업,2023-01-30,12월,서울특별시
미래반도체,코스닥,254490,기타 전문 도매업,2023-01-27,12월,서울특별시
태양3C,코넥스,52960,자동차 부품 및 내장품 판매업,2023-01-26,12월,강원특별자치도
티이엠씨,코스닥,425040,기초 화학물질 제조업,2023-01-19,12월,충청북도
한주라이트메탈,코스닥,198940,1차 비철금속 제조업,2023-01-19,12월,울산광역시
옵티코어,코스닥,380540,마그네틱 및 광학 매체 제조업,2022-12-29,12월,경기도
아이오바이오,코넥스,447690,의료용 기기 제조업,2022-12-28,12월,서울특별시
타이드,코넥스,346010,전자부품 제조업,2022-12-28,12월,서울특별시
신스틸,코스닥,162300,1차 철강 제조업,2022-12-23,12월,부산광역시
바이오노트,유가,377740,의료용품 및 기타 의약 관련제품 제조업,2022-12-22,12월,경기도
마이크로엔엑스,코넥스,448780,의료용 기기 제조업,2022-12-21,12월,대구광역시
애니메디솔루션,코넥스,390110,의료용 기기 제조업,2022-12-21,12월,경기도
IBKS제21호스팩,코스닥,442770,금융 지원 서비스업,2022-12-16,12월,서울특별시
핑거스토리,코스닥,417180,기타 정보 서비스업,2022-12-08,12월,서울특별시
SAMG엔터,코스닥,419530,"영화, 비디오물, 방송프로그램 제작 및 배급업",2022-12-06,12월,서울특별시
아하,코넥스,102950,전자부품 제조업,2022-11-30,12월,경기도
인터로이드,코넥스,311960,소프트웨어 개발 및 공급업,2022-11-29,12월,서울특별시
유니드비티플러스,유가,446070,제재 및 목재 가공업,2022-11-28,12월,서울특별시
펨트론,코스닥,168360,특수 목적용 기계 제조업,2022-11-24,12월,서울특별시
인벤티지랩,코스닥,389470,자연과학 및 공학 연구개발업,2022-11-22,12월,경기도
엔젯,코스닥,419080,특수 목적용 기계 제조업,2022-11-18,12월,경기도
유비온,코스닥,84440,소프트웨어 개발 및 공급업,2022-11-18,09월,서울특별시
티쓰리,코스닥,204610,소프트웨어 개발 및 공급업,2022-11-17,12월,서울특별시
티에프이,코스닥,425420,전자부품 제조업,2022-11-17,12월,경기도
윤성에프앤씨,코스닥,372170,특수 목적용 기계 제조업,2022-11-14,12월,경기도
디티앤씨알오,코스닥,383930,자연과학 및 공학 연구개발업,2022-11-11,12월,경기도
뉴로메카,코스닥,348340,특수 목적용 기계 제조업,2022-11-04,12월,서울특별시
제이아이테크,코스닥,417500,기타 화학제품 제조업,2022-11-04,12월,전북특별자치도
LX세미콘,유가,108320,반도체 제조업,2022-11-03,12월,대전광역시
큐알티,코스닥,405100,"그외 기타 전문, 과학 및 기술 서비스업",2022-11-02,12월,경기도
저스템,코스닥,417840,특수 목적용 기계 제조업,2022-10-28,12월,경기도
산돌,코스닥,419120,소프트웨어 개발 및 공급업,2022-10-27,12월,서울특별시
탈로스,코넥스,434190,일차전지 및 이차전지 제조업,2022-10-24,12월,경기도
플라즈맵,코스닥,405000,의료용 기기 제조업,2022-10-21,12월,대전광역시
핀텔,코스닥,291810,소프트웨어 개발 및 공급업,2022-10-20,12월,경기도
샤페론,코스닥,378800,기초 의약물질 제조업,2022-10-19,12월,서울특별시
비스토스,코스닥,419540,의료용 기기 제조업,2022-10-18,12월,경기도
탑머티리얼,코스닥,360070,일차전지 및 이차전지 제조업,2022-10-18,12월,경기도
에스비비테크,코스닥,389500,일반 목적용 기계 제조업,2022-10-17,12월,경기도
오에스피,코스닥,368970,동물용 사료 및 조제식품 제조업,2022-10-14,12월,충청남도
모델솔루션,코스닥,417970,특수 목적용 기계 제조업,2022-10-07,12월,서울특별시
이노룰스,코스닥,296640,소프트웨어 개발 및 공급업,2022-10-07,12월,서울특별시
파인엠텍,코스닥,441270,전자부품 제조업,2022-10-07,12월,경기도
KB스타리츠,유가,432320,부동산 임대 및 공급업,2022-10-06,01월,서울특별시
선바이오,코스닥,67370,의약품 제조업,2022-10-05,12월,인천광역시
더블유씨피,코스닥,393890,일차전지 및 이차전지 제조업,2022-09-30,12월,충청북도
알피바이오,코스닥,314140,의약품 제조업,2022-09-29,12월,서울특별시
티엘엔지니어링,코넥스,413300,"건축기술, 엔지니어링 및 관련 기술 서비스업",2022-09-27,12월,경기도
오픈엣지테크놀로지,코스닥,394280,소프트웨어 개발 및 공급업,2022-09-26,12월,서울특별시
대성하이텍,코스닥,129920,특수 목적용 기계 제조업,2022-08-22,12월,대구광역시
쏘카,유가,403550,운송장비 임대업,2022-08-22,12월,제주특별자치도
에이치와이티씨,코스닥,148930,기타 금속 가공제품 제조업,2022-08-09,12월,경기도
새빗켐,코스닥,107600,기타 화학제품 제조업,2022-08-04,12월,경상북도
수산인더스트리,유가,126720,건물설비 설치 공사업,2022-08-01,12월,충청남도
아이씨에이치,코스닥,368600,전자부품 제조업,2022-07-29,12월,경기도
성일하이텍,코스닥,365340,기초 화학물질 제조업,2022-07-28,12월,전북특별자치도
에이프릴바이오,코스닥,397030,자연과학 및 공학 연구개발업,2022-07-28,12월,강원특별자치도
퓨쳐메디신,코넥스,341170,자연과학 및 공학 연구개발업,2022-07-27,12월,경기도
벨로크,코스닥,424760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2022-07-22,12월,울산광역시
루닛,코스닥,328130,소프트웨어 개발 및 공급업,2022-07-21,12월,서울특별시
바스칸바이오제약,코넥스,354390,의약품 제조업,2022-07-20,12월,경기도
HPSP,코스닥,403870,특수 목적용 기계 제조업,2022-07-15,12월,경기도
와이씨켐,코스닥,112290,기타 화학제품 제조업,2022-07-14,12월,경상북도
코난테크놀로지,코스닥,402030,소프트웨어 개발 및 공급업,2022-07-07,12월,서울특별시
넥스트칩,코스닥,396270,반도체 제조업,2022-07-01,12월,경기도
레이저쎌,코스닥,412350,특수 목적용 기계 제조업,2022-06-24,12월,경기도
보로노이,코스닥,310210,자연과학 및 공학 연구개발업,2022-06-24,12월,인천광역시
위니아에이드,코스닥,377460,개인 및 가정용품 수리업,2022-06-23,12월,광주광역시
비큐AI,코스닥,148780,소프트웨어 개발 및 공급업,2022-06-20,12월,서울특별시
범한퓨얼셀,코스닥,382900,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022-06-17,12월,경상남도
코나솔,코넥스,176590,기타 금속 가공제품 제조업,2022-06-15,12월,충청남도
청담글로벌,코스닥,362320,생활용품 도매업,2022-06-03,12월,서울특별시
마스턴프리미어리츠,유가,357430,부동산 임대 및 공급업,2022-05-31,03월,서울특별시
가온칩스,코스닥,399720,반도체 제조업,2022-05-20,12월,경기도
대명에너지,코스닥,389260,건물 건설업,2022-05-16,12월,서울특별시
포바이포,코스닥,389140,"영화, 비디오물, 방송프로그램 제작 및 배급업",2022-04-28,12월,서울특별시
지투파워,코스닥,388050,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022-04-01,12월,경기도
씨피시스템,코스닥,413630,플라스틱제품 제조업,2022-03-31,12월,부산광역시
코람코더원리츠,유가,417310,부동산 임대 및 공급업,2022-03-28,02월,서울특별시
세아메카닉스,코스닥,396300,기타 금속 가공제품 제조업,2022-03-24,12월,경상북도
공구우먼,코스닥,366030,의복 액세서리 제조업,2022-03-23,12월,경기도
유일로보틱스,코스닥,388720,특수 목적용 기계 제조업,2022-03-18,12월,인천광역시
모아데이타,코스닥,288980,소프트웨어 개발 및 공급업,2022-03-10,12월,경기도
메쎄이상,코스닥,408920,기타 사업지원 서비스업,2022-03-07,12월,서울특별시
노을,코스닥,376930,의료용 기기 제조업,2022-03-03,12월,경기도
비씨엔씨,코스닥,146320,반도체 제조업,2022-03-03,12월,경기도
풍원정밀,코스닥,371950,전자부품 제조업,2022-02-28,12월,경기도
스톤브릿지벤처스,코스닥,330730,기타 금융업,2022-02-25,12월,서울특별시
브이씨,코스닥,365900,운동 및 경기용구 제조업,2022-02-24,12월,서울특별시
퓨런티어,코스닥,370090,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2022-02-23,12월,경기도
